日期,縣市,住宅部門售電量(度),住宅部門用電佔比(%),服務業部門售電量(度),服務業部門用電佔比(%) ,機關用電售電量(度),機關用電用電佔比(%),農林漁牧售電量(度),農林漁牧用電佔比(%),合計售電量(度),縣市用電佔比(%)
2018年09月,台東縣,37184832,0.4914,27885485,0.3685,7767004,0.1026,2831078,0.0374,75668399,0.760793097
2018年09月,花蓮縣,63632048,0.4807,49692955,0.3754,15724984,0.1188,3316528,0.0251,132366515,1.330853199
2018年09月,基隆市,73686646,0.5899,42921204,0.3436,8304786,0.0665,5350,0,124917986,1.255963423
2018年09月,新竹市,119540530,0.4939,99713178,0.412,21917393,0.0906,851169,0.0035,242022270,2.433365511
2018年09月,嘉義市,53432057,0.497,46831120,0.4356,6724246,0.0625,531941,0.0049,107519364,1.081032386
2018年09月,澎湖縣,20201566,0.5067,14662489,0.3677,4522145,0.1134,486129,0.0122,39872329,0.400888522
2018年09月,金門縣,13870442,0.4922,9813071,0.3482,4286944,0.1521,208770,0.0074,28179227,0.283322519
2018年09月,連江縣,1659933,0.3501,2001749,0.4223,1048160,0.2211,30795,0.0065,4740637,0.047663806
2018年09月,合計,5121411126,0.5149,3885965856,0.3907,654344612,0.0658,284267570,0.0286,9945989164,100
2018年08月,新北市,924941964,0.589,581448618,0.3703,61991117,0.0395,2031755,0.0013,1570413454,16.18162454
2018年08月,台北市,599582981,0.3877,802649037,0.519,142392567,0.0921,1969626,0.0013,1546594211,15.93618979
2018年08月,桃園市,531998585,0.5462,384746367,0.395,53223616,0.0546,4081876,0.0042,974050444,10.03666807
2018年08月,台中市,602104104,0.4926,540580045,0.4422,64279727,0.0526,15380131,0.0126,1222344007,12.59509828
2018年08月,台南市,389433034,0.5385,253228566,0.3502,40385384,0.0558,40107291,0.0555,723154275,7.451420476
2018年08月,高雄市,491781767,0.4937,403920000,0.4055,78674313,0.079,21836912,0.0219,996212992,10.26503216
2018年08月,宜蘭縣,94994563,0.5295,63736272,0.3553,12950932,0.0722,7722830,0.043,179404597,1.8485946
